tweets;Afet;Siyasi;Mağduriyet
hatay çevre illerde hissedilen sonrası can mal kaybının olmamasını temenni ediyorum vatandaşlarımıza geçmiş olsun dileklerimi iletiyorumrabbim milletimizi korusun;1;0;0
hatay kırıkhan ilçesinde  büyüklüğünde deprem meydana gelddepremin derinliği  olarak ölçüldü;1;0;0
afad yapılan açılamaya hatay  şiddetinde deprem meydana geldi;1;0;0
hatay meydana gelen  şiddetindeki deprem çevre illerden hissedildi bölge halkımıza geçmiş olsun dileklerimizi iletiyoruz nşallah can kaybı yoktur;1;0;0
hatay kırıkhan merkezli şiddetinde deprem meydana gelmiştir hatay geçmiş olsun temennim can kaybının yaşanmamasıdır rabbim beterinden korusun;1;0;0
hatay meydana gelen  şiddetindeki deprem çevre illerden hissedildi bölge halkımıza geçmiş olsun dileklerimizi iletiyoruz nşallah can kaybı yoktur;1;0;0
 ülkeme geçmiş olsun bizi sınamadan hazırlıklı olmak zorundayızbüyüklük yerkırıkhan hataytarihsaat tsienlem nboylam ederinlik kmdetay;1;0;0
merkez üssü kırıkhan olan şehrimizde yoğun şekilde hissedildi deprem can kaybı olmamasını diliyor etkilenenen yurttaşlarımıza geçmiş olsun dileklerimi sunuyorum;1;0;0
sahibim bunu durumda paylaşmış aldım evini yıkayım gör tweeti atacaktım deprem allah nota verdi;1;0;0
 hatay  şiddetinde deprem meydana geldi;1;0;0
merkez üssü olan  şiddetindeki deprem hissedildi rabbim ülkemizi milletimizi türlü felaketlerden korusun;1;0;0
sondakika hatay çevresinde büyüklüğünde deprem;1;0;0
bölgesinde yaşamak sonrakinde kalp krizinden gidici duruyorum;1;0;0
kandilli rasathanesi abi paylaşsanız deprem oldugunu;1;0;0
şehrimizde çevre illerde hissedilen deprem sonrası can mal kaybının olmamasını temenni ediyor vatandaşlarımıza geçmiş olsun dileklerimi iletiyorum;1;0;0
deprem ayaktaydim diz bağlarım çözüldü zannettim;1;0;0
deprem yüreğimden vurdu ondandır deprem içimde benim dedim hala sallanıyoruz  depremmiş;1;0;0
kilis deprem bölgesi olmamasına sallandı deprem merkezi allah yardımcıları olsun;1;0;0
anani sikim deprem;1;0;0
deprem tövbeler olsun;1;0;0
ufak çaplı deprem;1;0;0
şiddetli deprem;1;0;0
ananiiskm deprem amkk taehyun ozur dilerim mac sevmedigim icin;1;0;0
korfezi akdeniz   büyüklüğünde olduderinlik enlem boylam    ;1;0;0
 zaman deprem olacak zaman kıyamet kopacak yeter;1;0;0
abla sizin orda deprem olursa bizde yalan haber yapıyorlar deriz;1;0;0
deprem olduğunda uyanıp yatmıştım tweet bana anı hatırlattı;1;0;0
hareket eden depremler sıvıları jeolojik faylar kaydırarak tehlikeli deprem riskini artırabilmekte sıvılar şekilde tahliye edilmediği sürece risk edecektir;1;0;0
korfezi ege denizi   büyüklüğünde olduderinlik enlem boylam    ;1;0;0
ege denizinde  büyüklüğünde deprem;1;0;0
rasathane bilgilerinde deprem gözükmedi psikolojimiz bozuldu sanırım yatak sallandı hissetmiştim;1;0;0
 erzurum  büyüklüğünde deprem erzurum aşkale ilçesinde  büyüklüğünde deprem meydana geldiafet acil durum yönetimi başkanlığından afad alınan bilgilere göre;1;0;0
deprem stanbul özgü bişey  allah beterinden korusun risk yerde var ;1;0;0
anani sikim deprem;1;0;0
deprem tövbeler olsun;1;0;0
stanbul depremi çin kritik  saat aralık saati  aralık  saati bilimselmiş sunulan videonun bilimi açısından bilimsel geçerliliği yokdepremler güneş ayın değil yerkabuğundaki levha hareketleri oluyor;1;0;0
şiddetli deprem;1;0;0
ananiiskm deprem amkk taehyun ozur dilerim mac sevmedigim icin;1;0;0
korfezi akdeniz   büyüklüğünde olduderinlik enlem boylam    ;1;0;0
 zaman deprem olacak zaman kıyamet kopacak yeter;1;0;0
abla sizin orda deprem olursa bizde yalan haber yapıyorlar deriz;1;0;0
deprem olduğunda uyanıp yatmıştım tweet bana anı hatırlattı;1;0;0
çanakkale erzurum deprem meydana geldi;1;0;0
korfezi ege denizi   büyüklüğünde olduderinlik enlem boylam    ;1;0;0
marmara bölgesin kuzey kola güney kol iznik gemlik segmentlerine edilmesi gerekçok deprem aktivitesi kaydedilmiyor iznik segmenti gevye segmentindemarmara edilmesi gereken yer burasıdır;1;0;0
rasathane bilgilerinde deprem gözükmedi psikolojimiz bozuldu sanırım yatak sallandı hissetmiştim;1;0;0
 erzurum  büyüklüğünde deprem erzurum aşkale ilçesinde  büyüklüğünde deprem meydana geldiafet acil durum yönetimi başkanlığından afad alınan bilgilere göre;1;0;0
deprem stanbul özgü bişey  allah beterinden korusun risk yerde var ;1;0;0
ekvador açıklarında  büyüklüğünde deprem meydana geldi;1;0;0
aletsel büyüklük düşünmeyle olmuyor buunduğunuz bölgedeki fayın boyu derinliği biriken gerilem süresi büyüklüğü belirler gölyaka fayı depremelri büyük deprem oluştursun sürsün korkmanıza;1;0;0
şey yok zmityahyakaptan zemini kötüydü deprem öncesi yapılan zemin iyileştirmesi radye temel tünel kalıp tekniklerle depreme dayanıklı yapı mümkün kocaeli depreminde hasar yoktu;1;0;0
deprem yazdım büyüklüğünde yazıyorduçok tuhaf aradan geçti mesaj geldi bana sarsıntı olabilir diye sanırım artçı olacak diye hissetmedim uyuduk;1;0;0
mugla   büyüklüğünde olduderinlik enlem boylam    ;1;0;0
mugla   büyüklüğünde olduderinlik enlem boylam    ;1;0;0
kızılağaç mah ula muğlabüyüklük   öncederinlik    aralık  ;1;0;0
afad çeken araştırma uykusuzluk deprem habercisi ;1;0;0
hassiktir deprem amk;1;0;0
   büyüklüğünde olduderinlik enlem boylam    ;1;0;0
mars kaydedilen deprem rekor kırdı;1;0;0
ülkede deprem olduğunu düşünsenize;1;0;0
geçen gün ufak deprem olmuştu yıkılmadı;1;0;0
 deprem bölgesi toplanma alanı yok;1;0;0
devamı şöyle celal hoca cahil dedi deprem toplantısına çağırmadılar;1;0;0
karakılıçlı mah yunusemre manisabüyüklük   öncederinlik    aralık  ;1;0;0
gökyüzü pembeydi nşallah deprem olmaz;1;0;0
akpınar mah çameli denizlibüyüklük   öncederinlik    aralık  ;1;0;0
hangi fay deprem bina zemin bilgisine  binanın göçebileceği söyleniyor hasar aır hasar değil kullanılan kelime göçen   göçen bina sayısı  sonuç araştırmaya elde edildi sorguladığım ;1;0;0
ufak sarsıntı hissetsem deprem oluyor sanıyorum koltuk sallansa hopluyorum noluyor diye avize kontrol baktım sallanmıyor rahata geçiyorum ayarlarım bozuldu aralar;1;0;0
anani sikim deprem;1;0;0
deprem tövbeler olsun;1;0;0
ufak çaplı deprem;1;0;0
şiddetli deprem;1;0;0
ananiiskm deprem amkk taehyun ozur dilerim mac sevmedigim icin;1;0;0
korfezi akdeniz   büyüklüğünde olduderinlik enlem boylam    ;1;0;0
 zaman deprem olacak zaman kıyamet kopacak yeter;1;0;0
abla sizin orda deprem olursa bizde yalan haber yapıyorlar deriz;1;0;0
deprem olduğunda uyanıp yatmıştım tweet bana anı hatırlattı;1;0;0
çanakkale erzurum deprem meydana geldi;1;0;0
korfezi ege denizi   büyüklüğünde olduderinlik enlem boylam    ;1;0;0
ege denizinde  büyüklüğünde deprem;1;0;0
rasathane bilgilerinde deprem gözükmedi psikolojimiz bozuldu sanırım yatak sallandı hissetmiştim;1;0;0
 erzurum  büyüklüğünde deprem erzurum aşkale ilçesinde  büyüklüğünde deprem meydana geldiafet acil durum yönetimi başkanlığından afad alınan bilgilere göre;1;0;0
deprem stanbul özgü bişey  allah beterinden korusun risk yerde var ;1;0;0
ekvador açıklarında  büyüklüğünde deprem meydana geldi;1;0;0
deprem oldu;1;0;0
marmara bölgesinde gün deprem bekliyorum fava bekle abisi;1;0;0
deprem bilgisi ücretsiz lastquake uygulamasını indirin tecrübelerinizi paylaşın başkalarının yaşadıklarını öğrenin;1;0;0
mugla   büyüklüğünde olduderinlik enlem boylam    ;1;0;0
mugla   büyüklüğünde olduderinlik enlem boylam    ;1;0;0
kızılağaç mah ula muğlabüyüklük   öncederinlik    aralık  ;1;0;0
afad çeken araştırma uykusuzluk deprem habercisi ;1;0;0
hassiktir deprem amk;1;0;0
   büyüklüğünde olduderinlik enlem boylam    ;1;0;0
mars kaydedilen deprem rekor kırdı;1;0;0
ülkede deprem olduğunu düşünsenize;1;0;0
geçen gün ufak deprem olmuştu yıkılmadı;1;0;0
 deprem bölgesi toplanma alanı yok;1;0;0
devamı şöyle celal hoca cahil dedi deprem toplantısına çağırmadılar;1;0;0
karakılıçlı mah yunusemre manisabüyüklük   öncederinlik    aralık  ;1;0;0
gökyüzü pembeydi nşallah deprem olmaz;1;0;0
akpınar mah çameli denizlibüyüklük   öncederinlik    aralık  ;1;0;0
hangi fay deprem bina zemin bilgisine  binanın göçebileceği söyleniyor hasar aır hasar değil kullanılan kelime göçen   göçen bina sayısı  sonuç araştırmaya elde edildi sorguladığım ;1;0;0
ufak sarsıntı hissetsem deprem oluyor sanıyorum koltuk sallansa hopluyorum noluyor diye avize kontrol baktım sallanmıyor rahata geçiyorum ayarlarım bozuldu aralar;1;0;0
prof  naci görür stanbul depreminde bina hasar alabilir;1;0;0
zmir çeşme ilçesi açıklarında  büyüklüğünde deprem meydana geldi;1;0;0
prof  naci görür stanbul depreminde bina hasar alabilir;1;0;0
zmir çeşme ilçesi açıklarında  büyüklüğünde deprem meydana geldi;1;0;0
dakika ege korkutan deprem ;1;0;0
afad ege denizinde  büyüklüğünde deprem meydana geldiğini duyurdubüyüklük yerege denizitarihsaat tsienlem nboylam ederinlik;1;0;0
benim deprem sonrası travmam oluştu günlerdir uyuyamıyorum mücadele ediyorum ablamın travması yoğunluğu bana gelmiş diyor buna takıldın neee;1;0;0
prof  naci görürden stanbul korkutan deprem uyarısı minimum  büyüklüğünde olur;1;0;0
mugla   büyüklüğünde olduderinlik enlem boylam    ;1;0;0
allah korusun benimde korkum tsunami degil deprem saglam bildigimiz binalar;1;0;0
naci görür stabul deprem olmaz diyen sme yayında ateş püskürdü;1;0;0
naci görür stanbul depreminde ölecek kişi sayısını açıkladı rakam korkunç;1;0;0
malatya   büyüklüğünde olduderinlik enlem boylam    ;1;0;0
müdürlüğümüz personelleri tarafından batı karadeniz sahil güvenlik grup komutanlığıpersonellerine afet farkındalık eğitimi deprem anı uygulaması tahliye tatbikatı eğitimi araç tanıtımı gerçekleştirilmiştir;1;0;0
rüyamda deprem oluyordu gerçekmiş sallanıyordum sanırım sarsılmanın vakti gelmiş;1;0;0
kırıkkale  büyüklüğünde deprem;1;0;0
ran depremiran doğusunda güney horasan eyaletinde  büyüklüğünde deprem meydana geldi;1;0;0
haberler deprem oldu afad kandilli depremler listesi aralık salı;1;0;0
güneyde sel baskını deprem olacak buda benim kehanetim ;1;0;0
düzcede hissedilen şiddetinde deprem sürdü snyesi hissedilen sonrasında şiddeti azaldı ort alınıyor açıklamalarda kandillinin;1;0;0
aynı şiddette deprem yaşansın görelim sarı çizmeli süleyman saatte gidecek bölgeye;1;0;0
konuğumuz prof  cenk alhan lojistik sektörü sanayi tesislerindeki deprem risklerini konuşacağız  dinlemek;1;0;0
deprem tahmincileri hava durumu sozde uzmanlari  cok sarlatan var ortalikta;1;0;0
prof  naci görür stanbul depreminde bina hasar alabilir;1;0;0
zmir çeşme ilçesi açıklarında  büyüklüğünde deprem meydana geldi;1;0;0
dakika ege korkutan deprem ;1;0;0
afad ege denizinde  büyüklüğünde deprem meydana geldiğini duyurdubüyüklük yerege denizitarihsaat tsienlem nboylam ederinlik;1;0;0
benim deprem sonrası travmam oluştu günlerdir uyuyamıyorum mücadele ediyorum ablamın travması yoğunluğu bana gelmiş diyor buna takıldın neee;1;0;0
prof  naci görürden stanbul korkutan deprem uyarısı minimum  büyüklüğünde olur;1;0;0
mugla   büyüklüğünde olduderinlik enlem boylam    ;1;0;0
allah korusun benimde korkum tsunami degil deprem saglam bildigimiz binalar;1;0;0
naci görür stabul deprem olmaz diyen sme yayında ateş püskürdü;1;0;0
naci görür stanbul depreminde ölecek kişi sayısını açıkladı rakam korkunç;1;0;0
malatya   büyüklüğünde olduderinlik enlem boylam    ;1;0;0
müdürlüğümüz personelleri tarafından batı karadeniz sahil güvenlik grup komutanlığıpersonellerine afet farkındalık eğitimi deprem anı uygulaması tahliye tatbikatı eğitimi araç tanıtımı gerçekleştirilmiştir;1;0;0
rüyamda deprem oluyordu gerçekmiş sallanıyordum sanırım sarsılmanın vakti gelmiş;1;0;0
kırıkkale  büyüklüğünde deprem;1;0;0
ran depremiran doğusunda güney horasan eyaletinde  büyüklüğünde deprem meydana geldi;1;0;0
haberler deprem oldu afad kandilli depremler listesi aralık salı;1;0;0
güneyde sel baskını deprem olacak buda benim kehanetim ;1;0;0
düzcede hissedilen şiddetinde deprem sürdü snyesi hissedilen sonrasında şiddeti azaldı ort alınıyor açıklamalarda kandillinin;1;0;0
aynı şiddette deprem yaşansın görelim sarı çizmeli süleyman saatte gidecek bölgeye;1;0;0
konuğumuz prof  cenk alhan lojistik sektörü sanayi tesislerindeki deprem risklerini konuşacağız  dinlemek;1;0;0
deprem tahmincileri hava durumu sozde uzmanlari  cok sarlatan var ortalikta;1;0;0
seminer deprem öncesi alınacak önlemler deprem yapılması gerekenler çök kapan tutun tatbikatı aktif şekilde anlatıldı desteklerinden afad ekibimize teşekkür ediyoruz;1;0;0
proust dediği anılar toplamıyız anımızın tesiri aynı olmaz anılar nöron ağlarımızı sarsar  deprem bittiğinde kendimizi bambaşka kişi olarak buluruz derimiz kalınlaşır kalbimiz taşlaşır yürek burkan kavrama yaşarız;1;0;0
afad kırıkkale korkutan deprem olarak duyurdu acaba insanları korkutmaktan vazgeçin  büyüklüğünde gün deprem oluyor büyüklükteki depremi insanların hissetmesi münkün değil sayenizde hissediyorlar;1;0;0
şey yaşamadan kaçacağım  biliyorum yıl büyük deprem olacak geldim istemiyorum;1;0;0
afet acil durum yönetim başkanlığıafad kırıkkale  büyüklüğünde deprem meydana geldiğini duyurdu;1;0;0
deprem yıktı yıkmayın;1;0;0
ran doğusundaki güney horasan eyaletinde  büyüklüğünde deprem meydana geldiran resmi ajansı irna haberine göre merkez üssü güney horasan eyaletine bağlı boşruye şehri yakınları olan deprem yerel saatle  kaydedildi sarsıntı yerin ;1;0;0
yangın gaz kaçağı deprem  durumlarda binanın acil boşaltılması yapılan yangın merdivenleri çamaşır kurutmak eşyaları bisikletleri çocuk arabalarını  koymak kullanılıyor denetleniyor ;1;0;0
kırıkkale korkutan deprem;1;0;0
allah korusun deprem olsa mevcut gsm operatörlerinin durumu aynısı olacak yıl yaşadık stanbul çevresine ulaşamadık;1;0;0
deprem dayanıklı yapı depremden korunmak yeterli değildir gölyaka binaalr göçmedi işyerlerindeki yapısal hasar yaralanmalar hazırlıksızlık önlem almama davranışlerı öğrenmeme tatbikat yapmama sonucu oluşmuştur;1;0;0
 afad deprem dairesi  müdürlüklerimiz düzenlenen çevrimiçi eğitimimiz başladı  depreme dayanıklı yapılaşma güncel örnekler profkürşat alyamaç afet araşmerkez müd deprem araştırmalarında bilişim teknolojileri profbahadır aktuğ ankara üni;1;0;0
deprem oldu afad kandilli depremler listesi aralık salı aralık salı günü meydana gelen depremler kandilli rasathanesi afad depremler listesi içerisinde paylaşıldı şiddeti  aşan;1;0;0
düzce deprem raporu hazirlandi  pekyolu haber ajansi;1;0;0
deprem oldu afad kandilli depremler listesi aralık salı;1;0;0
rüyamda deprem oluyordu yıkılma yoktu dedim istanbul dümdüz;1;0;0
afad kırıkkale ilçesinde saat  sıralarında  büyüklüğünde deprem meydana geldiğini duyurdu;1;0;0
merkez üssü  olan  büyüklüğünde deprem korku yaratti;1;0;0
deprem yıktı yıkmayın;1;0;0
gün emeklilikte güne takıların deprem sigorta girişi yapılmayanyaptıramayanların dileği eyt nin bugüne taşınmasıdıryeni yılda gülecek kişi dışındafarkını ödemeye razı;0;0;1
diyenlere sormak lazım arkadaş hepiniz yasa çıktıktan gün işe başladınız  hepiniz deprem mağdurusunuz  eyt sizlere kapsasaydı eminim bizden savunurdunuz merak etmeyin faydalananların çocuklarıda  yaşında emekli olacak;0;0;1
deprem bölgesindeki vatandaşların eyt kapsamı  tarihine alınması düşünülüyor ;0;0;1
sain cumhurbaşkanım kesimin hakkini verip kesimin hakkını unutmayin deprem gercegini unutmayin staj magdurlarini unutmayin bizde vatanin evlatlarıyız adalet bekliyoruz sizden;0;0;1
bizde vatanın evlatlarıyız bizde çalışıyoruz kesimi emekli edip kesimi etmemek olmaz deprem gerçeği unutulmamalidir staj unutulmamalıdır adalet istiyoruz;0;0;1
büyük hayal kırıklığına ugradik eyt yasasında deprem staj magdurlari olsaydı;0;0;1
ağustos deprem mağdurları emekçileriyiz gün çıkan yasayla eyt dışında kaldık mağduriyetimizin giderilmesini istiyoruzsaygılarımla ;0;0;1
 komisyon üyeleri yılında yaşanan ülkeyi etkiledi  girisler sigorta bildirimleri ertelendi kapsamı  olmalı;0;0;1
çalıştığım nin arşivlerinde olan röportaj bulunuyor şverenim çorlu avantaj mağazası arat mağazası sgk girişim yapılmadı deprem işverenlere muafiyet tanındı hakkımı istiyorum ;0;0;1
milletin sesi olan vekilimiz  teşekkürler mağdur yaratılarak mağduriyet çözülmez eyt kapsam  olmalı deprem mağdur olan insanlar mağdur edilmemeli;0;0;1
sayın başkanlarımbiz küçük kıyamet olarak adlandırılan ağustos deprem mağdurlarıyız allah bidaha yaşatmasın günlerdi felaketi yaşarken sigorta girişimizi düsünebilirmiydik saygılarımla;0;0;1
sizin imfye borçlanmadı icrat yaptı milletin hayrına işler yaptı bankaları hortumlayıp paralarını cebe indirmedi deprem yardımlarını memur maaşı olarak kullanmadı kef zorunlu tasarrufları eytyi çözdü ödememiştiniz;0;0;1
sayın plan bütçe komisyon üyelerim ağustos deprem mağdurları emekçileriz gün çıkan yasayla eyt dışında kaldıksaygılarımla;0;0;1
cumhurbaşkanım eyt yasasını bizlerin deprem mağdurlarının mağduriyetini giderecek şekilde düzenlenmesini talep ediyoruz;0;0;1
 komisyon üyeleri yılında yaşanan ülkeyi etkiledi  girisler sigorta bildirimleri ertelendi kapsamı  olmalı;0;0;1
sayin baskanim partili olarak sizden ricam bizlerinde sesini duymanzi istiyorum bizler yili eylul oncesi girdik sigortalarimiz zamaninda ödenmedigi icin birde deprem zamanina denk geldi icin magdur olduk simdi eyt nin tamamini kapsamasini istyrz;0;0;1
sayın cumhurbaşkanı eyt aralık  genişletilmesini isteğimizi görmezden geldiniz zamanlar deprem nedeni herşey yavaşlamıştışimdi günün karşılığı yıl çalışmak olacak düzenleme yapılmaz hakkımızı helâl etmiyoruz;0;0;1
gün yıl eyt haklarını alan herkese hayırlı olsun deprem staj mağdurlarını unutmayın eyt sesleniyorum destek kapsam  olmalıağustosta işe başladım çadırlarda yatıp işe gidiyordumsigortamı ekim yaptılar;0;0;1
deprem mağdurlarını unutmayın stajyerleri ;0;0;1
depremi işe giriş atama sgk bildirimleri ötelenmişbinlerce mağduruyuz talebimiz kapsamının  olmasıdır saygılarımızla;0;0;1
deprem millet can derdindeyken  milletvekiliyle apar topar çıkardığınız yasa yaşında emekliliğe mahkum edildiknasıl eğleniyo musunuz vicdanınız ;0;0;1
vekilim marmara vekilim düzce can mal derdine düşmüş işe girişler ssk bildirgeleri ötelenmiş mağduriyet doğmuşturkapsam  olmalı kademeli geçiş sağlanmalıdıraynı yaşıt güne yıl fark atıyor;0;0;1
sayın cumhurbaşkanım ülkenin deprem gerçeği varbizlerde yılındaki depremden mağdur oldukülkece bundan etkilendiğimizi bizden bilirsinizsizden ricamız eytkapsamının  tarihine çekilmesidir;0;0;1
 deprem ssk girişleri yapıldı;0;0;1
doları ekonomik büyüklükte bişey değil ulke dolar bulunamadığı nerdeyse memur maaşlarını odeyemeyecek hale gelmişti deprem yardımları ödediler maaşları;0;0;1
eyt deprem mağdurları olarak eyt kapsamın  olmasını istiyoruz;0;0;1
deprem zamanı devlet sgk ödemelerini ötelemedi işverenler sgk prim derdinde değilken çalışan cezalandırılıyor aynı yıl giriş yapan gün farkıyla yıl ceza almış olacak kapsam yılı olmalı;0;0;1
gazi meclisimizin değerli vekilleri eyt plan bütçe komisyonunuza geldiğinde deprem mağdurlarının mağduriyetlerinin giderilmesi kapsamın  olarak genişletilmesi konusunda gerekli çalışmaları yapacağınıza inanıyoruz;0;0;1
hala aynı şey yok eyt yok staj yok deprem mağduru  arkadaşım kafanız basmıyor günle sene emeklilik yaşı farkı olamaz büyük magduriyet budur;0;0;1
eyt yasası komisyon görüşmelerindeabo staj bağkur deprem mağduriyetlerinin eyt kapsamına girmesi masadan söz stiyor;0;0;1
eyt sigorta başlangıcının  olmasını bekliyoruzdeprem binlerce insanın işe girişleri ertelendi;0;0;1
sayın başkanım eytyı günle kaçırıyorum işyerınde arkadasımda günle kacırıyor günle yıl fark olurmu deprem zamanı yalvar yakar bulduk konuda bizi öksüz bırakmayın;0;0;1
bizlerde eyt kapsaminin aralık tarihine kapsamasini stajın ssk başlangıcı olmasını istiyoruzdeprem yılıydı yıl yazikki ssk girişleri ertelendi çok mağdur var  herkesin yılı hayırlı olsun;0;0;1
  denstaja devlet sözü istedik vermedilertbmm eyt komisyon görüşmelerinde deprem mağduriyetleri eyt kapsamina alinmasini bekliyoruz;0;0;1
yıla girerken staj eyt çıraklık deprem mağdurları sayamadığım kaderdaşlarım yılda hak hukuk adalet isdediyini alır arkada mağdur kalmaz herkese seneler;0;0;1
 deprem mağduruyduk eyt mağduru olmak istemiyoruz eyt kapsamı  olsun;0;0;1
sayın cumhurbaşkanım deprem mağduru sigorta girişleri depremden yapılmış emekçi vatandaşlarinizi unutmayıncikacak ety kapsaminin  olarak düzenlemesini rica ediyoruz;0;0;1
eyt sonuna kapsamalı deprem mağdurları;0;0;1
eyt abo ets bağkur deprem mağduriyetlerinin çözüldüğü yıl diliyorum yılımız hayırlı uğurlu bereketli olsunyeni yılda;0;0;1
staj ssk başlangıcı olmali yılının tamamını kapsaması önemlideprem yılıydı sene girişler gecikti;0;0;1
depremi işe giriş atama sgk bildirimleri ötelenmişbinlerce mağduruyuz talebimiz kapsamının  olmasıdır saygılarımızla;0;0;1
 plan bütçe komisyon üyelerim ağustos inden gün çıkarılan yasa dışarıda kaldık  olsun istiyoruzsaygılarıml;0;0;1
eyt  olmalidideprem den dolayi magdur olanlara  magduriyet yasatmayi;0;0;1
sayi veki eyt  olmalideprem zamanindan kmiolan kanundan magdurlar var lgi teşekkür lersayi baskan;0;0;1
sayın bakan eyt aralık  genişletilmesini isteğimizi görmezden geldiniz zamanlar deprem nedeni herşey yavaşlamıştışimdi günün karşılığı yıl çalışmak olacak düzenleme yapılmaz hakkımızı helâl etmiyoruz;0;0;1
plan bütçe komisyon üyelerim ağustos deprem mağdurları emekçileriz gün çıkan yasayla eyt dışında kaldık;0;0;1
değerli vekillerim hepinizin yılını kutlar sağlık mutluluk huzur dolu yıllar dilerimayrıca deprem mağdurları olarak eyt kapsamının tarihine çekilmesi konusunda desteklerinizi bekliyoruz;0;0;1
ağustos deprem mağdurları emekçileriyiz gün çıkan yasayla eyt dışında kaldık mağduriyetimizin giderilmesini istiyoruzsaygılarımla ;0;0;1
 komisyon üyeleri yılında yaşanan ülkeyi etkiledi  girisler sigorta bildirimleri ertelendi kapsamı  olmalı;0;0;1
çalıştığım nin arşivlerinde olan röportaj bulunuyor şverenim çorlu avantaj mağazası arat mağazası sgk girişim yapılmadı deprem işverenlere muafiyet tanındı hakkımı istiyorum ;0;0;1
milletin sesi olan vekilimiz  teşekkürler mağdur yaratılarak mağduriyet çözülmez eyt kapsam  olmalı deprem mağdur olan insanlar mağdur edilmemeli;0;0;1
sayın başkanlarımbiz küçük kıyamet olarak adlandırılan ağustos deprem mağdurlarıyız allah bidaha yaşatmasın günlerdi felaketi yaşarken sigorta girişimizi düsünebilirmiydik saygılarımla;0;0;1
sizin imfye borçlanmadı icrat yaptı milletin hayrına işler yaptı bankaları hortumlayıp paralarını cebe indirmedi deprem yardımlarını memur maaşı olarak kullanmadı kef zorunlu tasarrufları eytyi çözdü ödememiştiniz;0;0;1
sayın plan bütçe komisyon üyelerim ağustos deprem mağdurları emekçileriz gün çıkan yasayla eyt dışında kaldıksaygılarımla;0;0;1
cumhurbaşkanım eyt yasasını bizlerin deprem mağdurlarının mağduriyetini giderecek şekilde düzenlenmesini talep ediyoruz;0;0;1
 komisyon üyeleri yılında yaşanan ülkeyi etkiledi  girisler sigorta bildirimleri ertelendi kapsamı  olmalı;0;0;1
